"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17309154",1.40457695292842,9.87639520298614,11.7262358675294,1.46570021936782e-08,5.85400667615508e-07,9.92845639593098
"17230111",1.47099907826017,8.7219078323854,11.6462011739585,1.5979467714284e-08,6.3399331838593e-07,9.83870093208366
"17297537",-1.77054428012087,8.84079637633215,-11.619269596585,1.64526102729748e-08,6.48470974640739e-07,9.8083788683823
"17231066",-1.01005057153819,7.86029940128162,-11.5842448279279,1.70903873868089e-08,6.69205953165829e-07,9.7688542538014
"17267209",-1.3274378315722,5.96358615377879,-11.5781441721936,1.72041449771518e-08,6.69285925702053e-07,9.76195931973867
"17333023",1.11408394434551,8.74673477108715,11.5704205003611,1.73493252702242e-08,6.70579404476858e-07,9.75322558726564
"17418540",1.66339665956836,8.19451904397885,11.5558559854181,1.76266553904847e-08,6.76931361823038e-07,9.7367427892652
"17302483",1.00987895492819,8.93156958365484,11.5004549172057,1.87255159853396e-08,7.14551377504263e-07,9.67388183070336
"17440465",-1.21337081891423,6.75967711930603,-11.483021316902,1.90862266901276e-08,7.23706228484524e-07,9.65404715691941
"17463851",-1.1532592642938,6.80894716019808,-11.4490611101178,1.98103125773891e-08,7.46437626736718e-07,9.61533574122051
"17454179",1.34722780576183,7.13928589710099,11.393975119024,2.10477838627849e-08,7.88107957012152e-07,9.55233414813445
"17477178",0.914354703071807,6.62474274065742,11.3035274472678,2.32616922553638e-08,8.65595020508599e-07,9.44832531501599
"17263953",1.09422040418156,7.3133989976154,11.2904233142274,2.36024878465933e-08,8.66259323264798e-07,9.43319789905129
"17540154",0.979340051584318,11.5297493238419,11.2863071039884,2.37106316205072e-08,8.66259323264798e-07,9.42844307404958
"17335540",1.30323808033109,9.66242663659197,11.2862048496527,2.37133248231392e-08,8.66259323264798e-07,9.42832493663492
"17469656",-1.30778171782882,6.6405287351117,-11.2763660735338,2.3973991555328e-08,8.70473838836182e-07,9.41695366986417
"17444346",-1.06667746475956,7.05757029739043,-11.2088640678554,2.58467752478219e-08,9.28905780005013e-07,9.33871041928388
"17288699",1.59711958852139,9.85890955284427,11.2072512437498,2.58933842865694e-08,9.28905780005013e-07,9.33683609048195
"17279608",-1.27220209697982,7.19050159804599,-11.1583547749649,2.73498078944823e-08,9.68237957222507e-07,9.27990322995155
"17309644",1.46986038532234,6.59946543296686,11.1579673786373,2.73616893166797e-08,9.68237957222507e-07,9.27945132428616
"17226550",-1.10210994886019,9.60821890506256,-11.1542941459423,2.74746207190496e-08,9.68237957222507e-07,9.27516576732172
"17526102",1.40473800322208,6.65962571775936,11.1319057221413,2.81737621279906e-08,9.87070227536794e-07,9.24901950325103
"17211000",1.08448506939465,8.11911375613117,11.1146995245081,2.87239436392165e-08,9.94995540850994e-07,9.22889521613094
"17279764",-1.77894526173035,6.00098039500818,-11.1144459696478,2.87321362989855e-08,9.94995540850994e-07,9.22859846384532
"17472235",-1.14787422904487,7.92779020838418,-11.061914561151,3.04843666232775e-08,1.04960827839112e-06,9.16699449670572
"17340307",-1.06799530788414,6.52006068068961,-11.0275787496426,3.16909280007042e-08,1.08491628372696e-06,9.12659595275776
"17473856",-1.10115326433326,7.32073455020274,-10.9891427379943,3.31021587402204e-08,1.12678996029921e-06,9.08124818337178
"17332766",-1.36823065551247,7.00826740335646,-10.9799433956802,3.34497541131465e-08,1.13218913498226e-06,9.0703749145658
"17449725",1.74295510698737,8.34317726250935,10.9749102865115,3.36415722814716e-08,1.13228460414773e-06,9.06442275360024
"17521428",-1.72195262015968,6.75797225989733,-10.9549202564219,3.44150607003007e-08,1.1518470874609e-06,9.04076000793773
"17545618",-1.26616536931068,7.92691145159281,-10.9343055740487,3.52325874573769e-08,1.1709254005004e-06,9.0163201050022
"17358375",-1.01445497605043,7.22171318865422,-10.9290027373244,3.54462115485552e-08,1.1709254005004e-06,9.01002707649613
"17402283",1.46517369601676,10.8690291882096,10.9259102668579,3.55714276232805e-08,1.1709254005004e-06,9.00635597906258
"17357671",1.86272871966838,6.54605287203025,10.8828660494581,3.73640784022392e-08,1.22321417326675e-06,8.9551678462149
"17325608",0.999117131099106,5.51102675312267,10.8758999374558,3.76631253877076e-08,1.22630317498781e-06,8.94686793554149
"17449939",-1.20019251402483,7.33582452242472,-10.8542330777868,3.86096596902829e-08,1.25032687137559e-06,8.92102428192033
"17501989",1.33901303014748,8.92428986650675,10.8422625604964,3.91434346749914e-08,1.26079740396706e-06,8.90672780327595
"17543625",-1.37953894699812,6.08385006145647,-10.8024900960122,4.09740740256753e-08,1.31270415768888e-06,8.85913312049336
"17244439",-0.962735709892291,8.71514730276534,-10.7835660262163,4.18769133455931e-08,1.33449248858217e-06,8.83643622563049
"17307774",-1.21698078289475,5.89095675069956,-10.7781934805864,4.2137071940947e-08,1.33567829628685e-06,8.82998657209702
"17251454",-1.13283426059459,7.72017367298356,-10.7611103621473,4.29757962134551e-08,1.35509471113058e-06,8.80946089800463
"17507605",-1.17324957952753,6.36633880475728,-10.7262199706725,4.47445163749903e-08,1.40347852147941e-06,8.76745575461258
"17508170",-2.23778184653419,6.72726603738121,-10.7137246316168,4.53966598838786e-08,1.41651765293915e-06,8.75238499809225
"17262241",-1.25080646525216,9.26698859284322,-10.6872513581166,4.68119869113228e-08,1.45311198749085e-06,8.72040742842454
"17256225",-1.22748094109389,6.73399316909753,-10.6567115249388,4.85032886199183e-08,1.49785155732954e-06,8.68343674560645
"17519967",0.968504340562999,5.91382894807093,10.6373702198691,4.96079643457675e-08,1.51902414430608e-06,8.65997765518371
"17539658",-1.2693785592926,6.09056386607671,-10.6358486181728,4.96959993797348e-08,1.51902414430608e-06,8.658130617843
"17514435",1.58339143030977,9.27316630610191,10.6071029769314,5.13907537164263e-08,1.56285281987365e-06,8.62319616594432
"17520932",-0.962845627407392,8.7562030195309,-10.5828895753458,5.28660383829827e-08,1.59959816137601e-06,8.5937094949071
"17458573",1.09284487273946,9.13487756344753,10.5771957236377,5.32194601433364e-08,1.60219992823482e-06,8.58676760171904
"17445786",0.895770210003677,9.63793713913936,10.5686968504561,5.37516773315095e-08,1.60300491741701e-06,8.57640016409519
"17268681",1.1085749081425,7.8542248349213,10.5643283444969,5.40274437315223e-08,1.60300491741701e-06,8.57106854501738
"17308570",-1.30866440920818,7.71794340765019,-10.5639893561453,5.40489055780732e-08,1.60300491741701e-06,8.57065474545284
"17418916",1.12859355761085,9.99511126471079,10.5493720648298,5.49830330846992e-08,1.62267660694794e-06,8.55280124094236
"17272437",1.04641094540753,9.37593653517267,10.5422137881747,5.54467408053027e-08,1.62690321719494e-06,8.5440507781281
"17544960",1.33030705328513,9.32525880161883,10.5387997470582,5.56693639667771e-08,1.62690321719494e-06,8.53987565738753
"17503841",1.16586835190891,8.87595962445531,10.5327491553115,5.60662517264956e-08,1.63054812666716e-06,8.53247351712866
"17276302",-0.9277596855725,7.88609548437301,-10.4976504116894,5.84287445503267e-08,1.69104641836235e-06,8.48946607865898
"17228375",-0.941391329006512,7.94730968819539,-10.4840001600101,5.93759560749368e-08,1.71019881175455e-06,8.47270841558775
"17504005",0.876088812312529,8.7396512361995,10.4416912661354,6.24170919150316e-08,1.78919041943997e-06,8.42065513353133
"17385564",1.17329207012391,7.01054697271993,10.4327562486639,6.30802850133905e-08,1.79959041673915e-06,8.40964033908401
"17437529",0.983817072790701,8.81304406349336,10.3813187250573,6.70469162528105e-08,1.90368756052411e-06,8.34608068827912
"17306477",0.88151164522086,11.4366729478166,10.3720916881866,6.77861166466096e-08,1.9155972869332e-06,8.33465218144247
"17478301",-1.0556328438237,6.17089045843124,-10.3599683002806,6.87705578244129e-08,1.93429301373736e-06,8.31962378264201
"17288876",-1.31861726330516,6.39331415583922,-10.2905522224823,7.47081177185404e-08,2.09147819276531e-06,8.23329980585749
"17523863",1.00867418687896,8.11532723760371,10.2796072397069,7.56930324409401e-08,2.1091951504822e-06,8.21964612438971
"17367652",1.87729538751044,5.85034101374186,10.270705942831,7.6504224426319e-08,2.12192966915776e-06,8.20853328135243
"17398571",-1.39920199117737,8.16991834657092,-10.2594567439896,7.7542636680824e-08,2.14081998320192e-06,8.19447811414739
"17489384",-1.12630560457297,7.51963654118676,-10.2310369279395,8.02334334864314e-08,2.20494724778537e-06,8.15891412285436
"17428766",1.16118720960432,7.41245160680688,10.2217700601173,8.11321571191284e-08,2.21946462694383e-06,8.14730061152681
"17227797",-1.69278238035907,6.1529796697247,-10.1956091217964,8.37275801803306e-08,2.27433353413777e-06,8.11446935939073
"17339554",-1.60796221669874,5.9483019042284,-10.1939302317979,8.38971308703801e-08,2.27433353413777e-06,8.11236009629972
"17243576",-0.966631461303083,6.78089693340689,-10.1824284182058,8.50685622901068e-08,2.2957016066668e-06,8.09790238339974
"17506991",-0.927197845886186,9.94721143076151,-10.1716219749606,8.61850321012213e-08,2.31540146779559e-06,8.08430684076989
"17227348",-0.996333947908353,8.52360279979417,-10.152610000912,8.81872598080398e-08,2.35861550674092e-06,8.06035990897173
"17340609",0.870170805533679,9.81565200642914,10.1435551669067,8.91581996820379e-08,2.37398566353373e-06,8.048942111294
"17344336",-1.34909714903571,7.32542798365511,-10.1346962995115,9.01191359817927e-08,2.38895461799522e-06,8.03776354627091
"17266157",1.00473676606093,10.6392161121282,10.0942079620039,9.46533285303411e-08,2.49809731817301e-06,7.98657396551861
"17336114",-1.25667340241423,8.06196526923587,-10.0775756770007,9.65856929439252e-08,2.51563319629512e-06,7.96549832878053
"17337927",0.847488696986789,8.32458273680373,10.0753615118921,9.68460854656234e-08,2.51563319629512e-06,7.96269055923983
"17503664",0.988943503752845,7.09178320503857,10.0747785021538,9.69147732705899e-08,2.51563319629512e-06,7.96195116651853
"17291343",-1.03172927182386,6.13552596225155,-10.074077982671,9.69973741185399e-08,2.51563319629512e-06,7.96106269898172
"17407716",-0.789921024913784,9.0780806633232,-10.0471156069977,1.00234194370359e-07,2.58837525203802e-06,7.92682902167272
