"","none.1","none.2","none.3","saprophyte.1","saprophyte.2","saprophyte.3","attenuated.1","attenuated.2","attenuated.3","virulent.1","virulent.2","virulent.3"
"17336077",7.37835009759774,7.24490126706585,7.10478605645479,7.2829724195611,7.2542012448456,7.07405411206592,7.20538860541871,6.57168836670227,7.20155626464366,7.24496904317976,6.63391315429984,6.82146859459725
"17324249",6.49497933069768,6.10970529331953,6.04479317269853,6.84319821300372,6.41470564566377,6.54970666764014,6.56234560343476,6.08894699104086,5.95324931574779,6.63960628909401,6.11267833776019,6.22319658229734
"17498057",5.3465912005799,4.89909172063935,5.40473611336451,5.13899850005252,5.09797533101184,5.60221919161636,4.76812601824972,5.6439994917335,5.39920774450242,5.10817548120647,5.23874324261968,5.18770844036846
"17489503",3.83503101220736,3.74933652684037,3.34232435605629,3.42106725042014,3.50118323702568,3.76748311684248,4.07009122942227,3.78427232788998,3.63745893137034,3.69207307379951,3.99354038697947,3.67635555558271
"17340427",7.81569281629663,7.55576718481591,7.51652064611487,7.50954465584851,7.1380962556181,7.19848923496586,7.55523761582827,7.07705662319976,6.98006760858172,7.75864350076456,6.86568254707582,7.07700143098363
"17549930",4.73461827732415,4.68613240602657,4.58865787862662,4.31724696205814,4.58234929354349,4.49449265368498,4.5787826030697,4.35924657894674,4.62562046209909,4.25527328057105,4.75558554525951,4.51254790261377
"17498810",5.17480368392374,5.39176963947265,5.35602909971075,5.37712566216778,5.50525721818354,5.48119599767284,5.15087081446861,5.37485680824867,5.48917939163934,5.11488306832646,5.46080760613117,5.47718686744441
"17517270",4.41294535158211,4.89366440168984,4.81468653790976,4.24817205392016,4.60295093954673,4.61482425227134,4.67066780746446,4.32435469676582,4.65131646001816,4.62392025386789,4.8255188715249,4.92081807783953
"17416761",8.68091213413003,8.24403909984371,8.102328791137,9.03663603397189,8.64515004975769,8.76670867023559,8.69032159758744,8.17186818100972,8.26966459273413,8.5530431795627,8.0789871953161,8.23892795311628
"17430809",7.78135862143162,7.8223200735333,7.85336106904731,8.20150411046289,8.15186868947882,8.15368033750911,7.98559004332499,8.00772404979711,7.94250301523998,8.08375462467314,7.74028078164875,7.96946386831854
"17427769",5.83416821077199,6.1943756134524,6.0258081068604,6.02087735699789,6.03943102935661,6.0120229255403,5.98931772747709,6.35850518057164,6.28893452295767,5.9886849063447,6.27056953516883,6.44583054115353
"17442942",7.52362442297436,8.196004632269,8.39476183391227,7.77328083737572,8.49566369915087,7.79288774638246,8.10541534439438,8.36653852957804,8.57946072220424,7.97713361237023,8.69549696357254,8.0632181615148
